Control Variate
{'N': 10, 'M': 0, 'exp': np.float32(1.8646488), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 1, 'exp': np.float32(0.690479), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 2, 'exp': np.float32(1.2269431), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 3, 'exp': np.float32(1.082956), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 4, 'exp': np.float32(0.56482077), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 5, 'exp': np.float32(0.87398595), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 6, 'exp': np.float32(0.48662633), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 7, 'exp': np.float32(0.75227076), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 8, 'exp': np.float32(0.82643867), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 9, 'exp': np.float32(1.3326472), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 10, 'exp': np.float32(0.97188187), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 11, 'exp': np.float32(1.1759233), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 12, 'exp': np.float32(0.7021576), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 13, 'exp': np.float32(1.8020699), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 14, 'exp': np.float32(1.2377628), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 15, 'exp': np.float32(0.82253444), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 16, 'exp': np.float32(0.7494552), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 17, 'exp': np.float32(1.2551923), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 18, 'exp': np.float32(0.81049854), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 19, 'exp': np.float32(1.3627427), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 20, 'exp': np.float32(1.2720999), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 21, 'exp': np.float32(0.6833524), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 22, 'exp': np.float32(1.2093952), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 23, 'exp': np.float32(1.1472452), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 24, 'exp': np.float32(-0.69278526), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 25, 'exp': np.float32(0.57126176), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 26, 'exp': np.float32(0.71956956), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 27, 'exp': np.float32(0.63300556), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 28, 'exp': np.float32(1.4846444), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 29, 'exp': np.float32(0.7184526), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 30, 'exp': np.float32(2.1893742), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 31, 'exp': np.float32(1.4592708), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 32, 'exp': np.float32(1.5738678), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 33, 'exp': np.float32(0.38274193), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 34, 'exp': np.float32(1.306942), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 35, 'exp': np.float32(1.8362861), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 36, 'exp': np.float32(2.1145592), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 37, 'exp': np.float32(0.9504844), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 38, 'exp': np.float32(0.46426404), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 39, 'exp': np.float32(0.5290349), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 40, 'exp': np.float32(0.90203273), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 41, 'exp': np.float32(0.5043987), 'Nlow': 1000, 'Nhigh': 10}
{'N': 10, 'M': 42, 'exp': np.float32(1.1914446), 'Nlow': 1000, 'Nhigh': 10}
